UID,Implementation Guard,Control ID,Content Area,Safeguard Title,Customer Objective,Detailed Requirement,Lifecycle Trigger,Cadence,Primary Stakeholder,Evidence of Completion,Minimum Status to Pass,Minimum Evidence to Pass,Fail Condition,Why it Matters,Who Cares Most (Customer),First Required When
1,IG1,OBS-IG1-01,AI Observability,Adoption baseline,Know who is using AI and how.,"Establish baseline adoption metrics including active users, feature usage, and engagement patterns.",Onboarding,Monthly,AI admin + sponsor,Adoption dashboard or report with baseline metrics.,Implemented,Validated,AI is deployed without visibility into actual usage patterns.,You cannot manage what you cannot see.,Executive Sponsor | CIO | Enablement Owner,GenAI
2,IG1,OBS-IG1-02,AI Observability,Shadow AI discovery baseline,Find AI tools employees are using without approval.,Establish baseline visibility into unapproved AI tool usage across the customer environment. Run monthly thereafter � shadow AI grows continuously as new tools emerge.,Onboarding,Monthly recurring scan,Security lead,Shadow AI discovery report with categorized findings.,Implemented,Documented,Unapproved AI usage is invisible to security and IT.,Shadow AI is the largest unmanaged risk in most environments.,CISO | Security Operations | CIO,GenAI
3,IG1,DEP-IG1-02,AI Tooling & Deployment,Named pilot with training,Start with prepared users rather than broad enablement.,"Identify pilot users by name/department, provide role-specific training, and confirm readiness before enabling AI tools.",Onboarding,Per rollout wave,Project lead + department manager,Pilot roster with training completion evidence.,Implemented,Validated,AI is enabled for users without training or readiness confirmation.,Training is the most effective risk reduction for end users.,CIO | Department Owner | Project Sponsor,GenAI
4,IG1,DEP-IG1-01,AI Tooling & Deployment,Deployment plan,Control the pace of AI rollout.,Define deployment rings that sequence AI enablement from pilot to broader populations.,Project,Per rollout wave,IT lead,Ring definitions and progression criteria.,Implemented,Documented,AI is enabled broadly without staged rollout.,Rings contain blast radius and allow learning.,CIO ,GenAI
5,IG1,DEP-IG1-03,AI Tooling & Deployment,Support runbook,Give support teams the tools to handle AI issues.,"Create a support runbook covering common AI issues, troubleshooting steps, and escalation procedures.",Onboarding,Quarterly refresh,Service owner,Published runbook with common scenarios.,Implemented,Documented,Support teams handle AI issues without documented procedures.,Support readiness reduces user frustration and resolution time.,Enablement Owner | CIO | Department Manager,GenAI
6,IG1,CPL-IG1-02,Copilot Readiness,Copilot audit and usage telemetry baseline,"Verify that Copilot audit, telemetry, and usage visibility exist before broad adoption begins.","Enable Unified Audit Log coverage for Copilot, verify Copilot interaction events are being captured, and confirm Copilot usage reports or dashboards are available to the right admin audience. Document who reviews the data and how often.",Onboarding,Monthly review,Security admin + sponsor,"Audit event verification, usage report access evidence, and review cadence notes.",Implemented,Validated,Copilot is live without verified audit coverage or no one is assigned to review usage and telemetry.,"Without verified audit and usage visibility, support, compliance, and adoption conversations rely on assumptions instead of evidence.",CISO | CIO | Executive Sponsor,GenAI
8,IG1,SKL-IG1-05,People & Skills,AI Literacy Baseline Assessment,Establish a documented baseline of AI literacy across the organization before rollout.,"Administer a role-appropriate AI literacy assessment to all users in the rollout cohort. Assess understanding of AI capabilities, limitations, appropriate use, and risk awareness. Use results to assign learning paths and identify high-risk knowledge gaps before enablement.",Onboarding,At initial rollout and for each new user cohort,IT lead + HR,Assessment results by role group with assigned learning path and gap summary.,Implemented,Documented,Users are enabled on AI tools without any baseline literacy check.,"Unskilled users generate low-quality outputs, create risk through misuse, and reduce the ROI the business is trying to realize.",All Staff / HR / Department Leaders,GenAI
9,IG2,SKL-IG2-01,People & Skills,Role-Based AI Learning Paths,"Provide structured, role-appropriate AI training for every user population.","Define and publish distinct learning paths for at minimum four populations: (1) Executives � AI strategy, governance accountability, risk awareness; (2) Power Users � advanced prompting, workflow design, output validation; (3) General Staff � safe and effective daily use, what not to submit to AI; (4) IT and Security � admin controls, monitoring, incident response. Track completion per user and update paths when new capabilities are deployed.",Onboarding,Published at rollout; updated quarterly and at each capability deployment,IT lead + HR,Published learning paths per role group with completion tracking and version history.,Implemented,Documented,"All users receive identical training regardless of role, use case, or risk exposure.","Role-differentiated training drives adoption quality, reduces misuse, and ensures each population has the specific knowledge their job requires.",All Staff / HR / Department Leaders,GenAI
10,IG1,SKL-IG1-02,People & Skills,AI Champions Network,Establish a peer network of trained AI champions across every department.,"Identify and formally recognize at least one AI champion per department. Provide champions with: advanced training, early access to new features, a direct communication channel to the AI program team, and a quarterly champions brief. Champions are the first point of contact for peer questions and adoption friction.",Onboarding,Established at rollout; roster refreshed annually,IT lead + business owners,"Champions roster with department, name, training completion date, and contact path.",Implemented,Documented,No peer-level AI advocates exist; adoption relies entirely on top-down mandates.,Champions drive organic adoption and surface real-world friction the IT team cannot see. They are the single most cost-effective adoption accelerator in a rollout.,All Staff / Department Leaders,GenAI
11,IG1,SKL-IG1-04,People & Skills,In-scope user cohort defined,Constrain rollout to a deliberate population inside the customer environment.,"Define the initial pilot group, their job functions, use cases, support path, and exit criteria for scale.",Onboarding,Per rollout wave,IT lead + business owner,"Pilot roster, group export, and stage-gate criteria.",Implemented,Validated,Users are enabled broadly without a defined cohort and stage gate.,Containment is one of the best early safeguards.,Executive Team | Department Leaders | IT Lead,GenAI
