Control ID,Pillar,Safeguard Title,Microsoft Tool Recommendation,Generic Tooling Category,Lifecycle Trigger,IG
STR-IG1-01,Strategy & Buy-In,Executive sponsor assigned,Microsoft 365 admin center for pilot scope visibility; SharePoint list for decision log,Project portfolio management / governance tracker,Onboarding,IG1
STR-IG1-02,Strategy & Buy-In,Business outcomes by persona,Power BI for KPI baseline visualization; Excel/SharePoint for outcome register,BI/reporting tool,Onboarding,IG1
STR-IG1-03,Strategy & Buy-In,In-scope user cohort defined,Entra ID groups,Identity/group management,Onboarding,IG1
STR-IG1-04,Strategy & Buy-In,Communication plan published,SharePoint communication site; Teams announcement,Intranet / change communications,Onboarding,IG1
STR-IG2-01,Strategy & Buy-In,Steering cadence established,Teams meetings; Loop/SharePoint for decision log,Governance meeting cadence,QBR,IG2
STR-IG2-02,Strategy & Buy-In,Use-case backlog prioritized,Planner / Lists / SharePoint,Backlog management,Project,IG2
STR-IG2-03,Strategy & Buy-In,Licensing and budget plan,Microsoft 365 admin center usage and license reports,SaaS license management,Onboarding,IG2
STR-IG2-04,Strategy & Buy-In,Department expansion criteria,Power BI scorecards; SharePoint checklists,Project gate management,Project,IG2
STR-IG3-01,Strategy & Buy-In,12-month AI roadmap,Planner / Project for the web / Power BI,Roadmapping / PMO tooling,QBR,IG3
STR-IG3-02,Strategy & Buy-In,AI risk appetite statement,SharePoint controlled document library,Risk management / policy repository,Project,IG3
GOV-IG1-01,Policy & Governance,Basic AI acceptable use policy,SharePoint policy library; Purview communication/compliance references,Policy management / HR policy system,Onboarding,IG1
GOV-IG1-02,Policy & Governance,Approved AI tools inventory,SharePoint list; Defender exposure inventory where available,Asset / SaaS inventory,Onboarding,IG1
GOV-IG1-03,Policy & Governance,Prohibited data list for AI,Purview information protection reference; SharePoint policy page,Data handling standard,Onboarding,IG1
GOV-IG1-04,Policy & Governance,Output validation standard,SharePoint knowledge base,Knowledge management / SOP platform,Onboarding,IG1
GOV-IG2-01,Policy & Governance,AI change approval path,ServiceNow/Planner paired with Microsoft 365 admin change evidence,ITSM / CAB process,Project,IG2
GOV-IG2-02,Policy & Governance,Third-party AI vendor review,Defender for Cloud Apps app governance references; SharePoint checklist,Vendor risk management / procurement review,Project,IG2
GOV-IG2-03,Policy & Governance,Exception register,SharePoint/Lists,GRC / exception management,Project,IG2
GOV-IG2-04,Policy & Governance,Agent approval workflow,Copilot Studio admin controls; Power Platform admin center,Workflow / application approval process,Project,IG2
GOV-IG3-01,Policy & Governance,Block unapproved GenAI tools,Microsoft Defender for Endpoint / Defender for Cloud Apps / Defender for Web controls,DNS filtering tools / SSE / CASB / secure web gateway / browser control,Project,IG3
GOV-IG3-02,Policy & Governance,Policy mapping to enterprise risk framework,SharePoint controlled register; Purview evidence exports where relevant,GRC platform,QBR,IG3
TEC-IG1-01,Technical Readiness,Identity baseline for AI users,Microsoft Entra ID,Identity provider / SSO platform,Onboarding,IG1
TEC-IG1-02,Technical Readiness,Supported endpoint baseline,Intune; Microsoft 365 apps admin center,UEM / endpoint management,Onboarding,IG1
TEC-IG1-03,Technical Readiness,Network and service reachability,Microsoft connectivity and service health references,Firewall / proxy / network controls,Onboarding,IG1
TEC-IG1-04,Technical Readiness,Rollback plan for AI enablement,Entra groups; Microsoft 365 admin center,Rollback / release management,Project,IG1
TEC-IG2-01,Technical Readiness,Device compliance gating,Intune compliance + Conditional Access,UEM / conditional access,Project,IG2
TEC-IG2-02,Technical Readiness,Least-privilege admin review,Entra roles / PIM,Privileged access management,Onboarding,IG2
TEC-IG2-03,Technical Readiness,Audit and logging baseline,Purview Audit; Entra sign-in logs; Microsoft 365 audit surfaces,SIEM / audit logging,Onboarding,IG2
TEC-IG2-04,Technical Readiness,Separated test and production path,Copilot Studio / Power Platform environments / Entra groups,Test environment / SDLC controls,Project,IG2
TEC-IG3-01,Technical Readiness,Just-in-time privileged changes,Entra PIM,Privileged access management,Project,IG3
TEC-IG3-02,Technical Readiness,Secret and integration credential control,Azure Key Vault,Secrets management / PAM,Project,IG3
PRC-IG1-01,Process Mapping,Top workflow inventory,Excel / SharePoint / Power BI for scoring,Process mapping / workflow discovery,Onboarding,IG1
PRC-IG1-02,Process Mapping,Human review gates,SharePoint SOPs; Teams approvals where used,SOP / quality control,Onboarding,IG1
PRC-IG1-03,Process Mapping,Approved use-case SOPs,SharePoint knowledge base,SOP / knowledge base,Onboarding,IG1
PRC-IG1-04,Process Mapping,Prompt starter library,SharePoint pages / Loop,Knowledge base / prompt library,Onboarding,IG1
PRC-IG2-01,Process Mapping,Workflow baseline metrics,Power BI,BI / process analytics,Project,IG2
PRC-IG2-02,Process Mapping,Escalation and exception path by workflow,Teams / SharePoint,ITSM / SOP,Onboarding,IG2
PRC-IG2-03,Process Mapping,AI incident response playbook,Purview audit references; Teams incident collaboration,Incident response / ITSM / SIEM,Security Incident,IG2
PRC-IG2-04,Process Mapping,Workflow change control,SharePoint versioning; Planner change list,Change management,Project,IG2
PRC-IG3-01,Process Mapping,Autonomy boundary matrix,SharePoint controlled matrix,Risk / controls documentation,Project,IG3
