Control ID,Pillar,IG,Safeguard Title,Lifecycle Trigger,Cadence,Status,Owner,Due Date,Microsoft Tool Recommendation,Generic Tooling Category,Evidence Link / Notes,Priority
STR-IG1-01,Strategy & Buy-In,IG1,Executive sponsor assigned,Onboarding,At initial rollout and annual renewal,Not Started,Customer executive sponsor,,Microsoft 365 admin center for pilot scope visibility; SharePoint list for decision log,Project portfolio management / governance tracker,,Critical
STR-IG1-02,Strategy & Buy-In,IG1,Business outcomes by persona,Onboarding,At initial rollout and before each new department expansion,Not Started,Department owner + project lead,,Power BI for KPI baseline visualization; Excel/SharePoint for outcome register,BI/reporting tool,,Critical
STR-IG1-03,Strategy & Buy-In,IG1,In-scope user cohort defined,Onboarding,Per rollout wave,Not Started,IT lead + business owner,,Entra ID groups,Identity/group management,,Critical
STR-IG1-04,Strategy & Buy-In,IG1,Communication plan published,Onboarding,Per rollout wave,Not Started,Communications lead,,SharePoint communication site; Teams announcement,Intranet / change communications,,Critical
STR-IG2-01,Strategy & Buy-In,IG2,Steering cadence established,QBR,Monthly or quarterly depending on customer size,Not Started,Customer sponsor + IT/security lead,,Teams meetings; Loop/SharePoint for decision log,Governance meeting cadence,,High
STR-IG2-02,Strategy & Buy-In,IG2,Use-case backlog prioritized,Project,Quarterly review,Not Started,Business analyst + department owner,,Planner / Lists / SharePoint,Backlog management,,High
STR-IG2-03,Strategy & Buy-In,IG2,Licensing and budget plan,Onboarding,Quarterly,Not Started,IT finance + sponsor,,Microsoft 365 admin center usage and license reports,SaaS license management,,High
STR-IG2-04,Strategy & Buy-In,IG2,Department expansion criteria,Project,Per expansion wave,Not Started,Project lead + sponsor,,Power BI scorecards; SharePoint checklists,Project gate management,,High
STR-IG3-01,Strategy & Buy-In,IG3,12-month AI roadmap,QBR,Quarterly refresh,Not Started,Executive sponsor + transformation lead,,Planner / Project for the web / Power BI,Roadmapping / PMO tooling,,Medium
STR-IG3-02,Strategy & Buy-In,IG3,AI risk appetite statement,Project,Annual and upon major policy change,Not Started,Executive sponsor + risk/compliance lead,,SharePoint controlled document library,Risk management / policy repository,,Medium
GOV-IG1-01,Policy & Governance,IG1,Basic AI acceptable use policy,Onboarding,Annual review,Not Started,Compliance lead + HR,,SharePoint policy library; Purview communication/compliance references,Policy management / HR policy system,,Critical
GOV-IG1-02,Policy & Governance,IG1,Approved AI tools inventory,Onboarding,Monthly review,Not Started,IT/security lead,,SharePoint list; Defender exposure inventory where available,Asset / SaaS inventory,,Critical
GOV-IG1-03,Policy & Governance,IG1,Prohibited data list for AI,Onboarding,Annual review and upon regulatory change,Not Started,Compliance lead,,Purview information protection reference; SharePoint policy page,Data handling standard,,Critical
GOV-IG1-04,Policy & Governance,IG1,Output validation standard,Onboarding,Quarterly refresh,Not Started,Department manager + compliance lead,,SharePoint knowledge base,Knowledge management / SOP platform,,Critical
GOV-IG2-01,Policy & Governance,IG2,AI change approval path,Project,Per change,Not Started,IT change owner + security approver,,ServiceNow/Planner paired with Microsoft 365 admin change evidence,ITSM / CAB process,,High
GOV-IG2-02,Policy & Governance,IG2,Third-party AI vendor review,Project,"Before approval, then annual review",Not Started,Security lead + procurement,,Defender for Cloud Apps app governance references; SharePoint checklist,Vendor risk management / procurement review,,High
GOV-IG2-03,Policy & Governance,IG2,Exception register,Project,Monthly review,Not Started,Compliance lead,,SharePoint/Lists,GRC / exception management,,High
GOV-IG2-04,Policy & Governance,IG2,Agent approval workflow,Project,Per agent or automation,Not Started,Platform owner + security approver,,Copilot Studio admin controls; Power Platform admin center,Workflow / application approval process,,High
GOV-IG3-01,Policy & Governance,IG3,Block unapproved GenAI tools,Project,Quarterly review and upon major new AI service adoption,Not Started,Security lead + network/endpoint admin,,Microsoft Defender for Endpoint / Defender for Cloud Apps / Defender for Web controls,DNS filtering tools / SSE / CASB / secure web gateway / browser control,,Medium
GOV-IG3-02,Policy & Governance,IG3,Policy mapping to enterprise risk framework,QBR,Semiannual,Not Started,Risk/compliance lead,,SharePoint controlled register; Purview evidence exports where relevant,GRC platform,,Medium
TEC-IG1-01,Technical Readiness,IG1,Identity baseline for AI users,Onboarding,Before initial rollout and for each new user cohort,Not Started,Identity admin,,Microsoft Entra ID,Identity provider / SSO platform,,Critical
TEC-IG1-02,Technical Readiness,IG1,Supported endpoint baseline,Onboarding,Per rollout wave,Not Started,Endpoint admin,,Intune; Microsoft 365 apps admin center,UEM / endpoint management,,Critical
TEC-IG1-03,Technical Readiness,IG1,Network and service reachability,Onboarding,Per rollout wave and after major network changes,Not Started,Network admin,,Microsoft connectivity and service health references,Firewall / proxy / network controls,,Critical
TEC-IG1-04,Technical Readiness,IG1,Rollback plan for AI enablement,Project,Per rollout wave,Not Started,IT lead,,Entra groups; Microsoft 365 admin center,Rollback / release management,,Critical
TEC-IG2-01,Technical Readiness,IG2,Device compliance gating,Project,Quarterly review,Not Started,Security + endpoint admin,,Intune compliance + Conditional Access,UEM / conditional access,,High
TEC-IG2-02,Technical Readiness,IG2,Least-privilege admin review,Onboarding,Quarterly,Not Started,Security admin,,Entra roles / PIM,Privileged access management,,High
TEC-IG2-03,Technical Readiness,IG2,Audit and logging baseline,Onboarding,Monthly review,Not Started,Security admin,,Purview Audit; Entra sign-in logs; Microsoft 365 audit surfaces,SIEM / audit logging,,High
TEC-IG2-04,Technical Readiness,IG2,Separated test and production path,Project,Per change or release,Not Started,Platform owner,,Copilot Studio / Power Platform environments / Entra groups,Test environment / SDLC controls,,High
TEC-IG3-01,Technical Readiness,IG3,Just-in-time privileged changes,Project,Monthly review,Not Started,Security admin,,Entra PIM,Privileged access management,,Medium
TEC-IG3-02,Technical Readiness,IG3,Secret and integration credential control,Project,Quarterly review,Not Started,Platform owner + security,,Azure Key Vault,Secrets management / PAM,,Medium
PRC-IG1-01,Process Mapping,IG1,Top workflow inventory,Onboarding,Quarterly refresh,Not Started,Department owner + analyst,,Excel / SharePoint / Power BI for scoring,Process mapping / workflow discovery,,Critical
PRC-IG1-02,Process Mapping,IG1,Human review gates,Onboarding,Quarterly refresh,Not Started,Department manager,,SharePoint SOPs; Teams approvals where used,SOP / quality control,,Critical
PRC-IG1-03,Process Mapping,IG1,Approved use-case SOPs,Onboarding,"Per workflow at launch, then quarterly",Not Started,Process owner,,SharePoint knowledge base,SOP / knowledge base,,Critical
PRC-IG1-04,Process Mapping,IG1,Prompt starter library,Onboarding,Quarterly refresh,Not Started,Department owner + enablement lead,,SharePoint pages / Loop,Knowledge base / prompt library,,Critical
PRC-IG2-01,Process Mapping,IG2,Workflow baseline metrics,Project,Quarterly,Not Started,Business analyst,,Power BI,BI / process analytics,,High
PRC-IG2-02,Process Mapping,IG2,Escalation and exception path by workflow,Onboarding,Quarterly refresh,Not Started,Department manager,,Teams / SharePoint,ITSM / SOP,,High
PRC-IG2-03,Process Mapping,IG2,AI incident response playbook,Security Incident,Quarterly tabletop and annual review,Not Started,Security lead + department owner,,Purview audit references; Teams incident collaboration,Incident response / ITSM / SIEM,,High
PRC-IG2-04,Process Mapping,IG2,Workflow change control,Project,Per change and quarterly review,Not Started,Process owner,,SharePoint versioning; Planner change list,Change management,,High
PRC-IG3-01,Process Mapping,IG3,Autonomy boundary matrix,Project,Semiannual review,Not Started,Executive sponsor + process owner,,SharePoint controlled matrix,Risk / controls documentation,,Medium
PRC-IG3-02,Process Mapping,IG3,Workflow quality scorecard,QBR,Quarterly,Not Started,QA lead + process owner,,Power BI,QA / analytics,,Medium
DAT-IG1-01,Data Security & Tagging,IG1,Approved data-in-scope register,Onboarding,Quarterly review,Not Started,Data owner + IT,,SharePoint list; Purview data map references,Data inventory / repository register,,Critical
DAT-IG1-02,Data Security & Tagging,IG1,Classification taxonomy,Onboarding,Annual review,Not Started,Compliance lead + data owner,,Microsoft Purview Information Protection,Data classification / information governance,,Critical
DAT-IG1-03,Data Security & Tagging,IG1,Permissions and sharing cleanup,Onboarding,Quarterly for high-value repositories,Not Started,Repository owner + IT,,SharePoint admin tools; Entra groups,Access governance / file permissions review,,Critical
DAT-IG1-04,Data Security & Tagging,IG1,Repository hygiene baseline,Onboarding,Semiannual review,Not Started,Repository owner,,SharePoint / OneDrive administration,Records management / content lifecycle,,Critical
DAT-IG2-01,Data Security & Tagging,IG2,Labeling deployment,Project,Quarterly review,Not Started,Purview/data governance admin,,Microsoft Purview sensitivity labels,Data labeling / classification enforcement,,High
DAT-IG2-02,Data Security & Tagging,IG2,DLP and exfiltration controls,Project,Monthly tuning,Not Started,Security admin,,Microsoft Purview DLP / Defender for Cloud Apps,DLP / CASB / email and web controls,,High
DAT-IG2-03,Data Security & Tagging,IG2,External sharing review,QBR,Quarterly,Not Started,Repository owner + IT/security,,SharePoint / Teams admin centers,External sharing governance,,High
DAT-IG2-04,Data Security & Tagging,IG2,Retention alignment for AI records,Project,Semiannual review,Not Started,Compliance lead,,Purview retention policies,Records management / retention tooling,,High
DAT-IG3-01,Data Security & Tagging,IG3,Regulated data access model,Project,Quarterly review,Not Started,Compliance lead + data owner,,Purview advanced labeling / DLP / access policies,Sensitive data governance / DSPM / data access controls,,Medium
DAT-IG3-02,Data Security & Tagging,IG3,Continuous oversharing monitoring,QBR,Monthly or quarterly depending on change rate,Not Started,Security/data governance lead,,Purview DSPM for AI / SharePoint governance signals,DSPM / data access governance,,Medium
OBS-IG1-01,AI Observability,IG1,Adoption baseline,Onboarding,Monthly,Not Started,AI admin + sponsor,,Microsoft 365 usage reports / Viva Insights where applicable,Usage analytics,,Critical
OBS-IG1-02,AI Observability,IG1,Shadow AI discovery baseline,Onboarding,Monthly,Not Started,Security lead,,Defender for Cloud Apps / Defender for Endpoint visibility,CASB / endpoint discovery / DNS reporting,,Critical
OBS-IG1-03,AI Observability,IG1,Audit evidence path,Onboarding,Monthly review,Not Started,Security admin,,Purview Audit / Entra logs,Audit / SIEM,,Critical
OBS-IG1-04,AI Observability,IG1,Output quality sampling starter,Onboarding,"Monthly during pilot, then quarterly",Not Started,Department owner + QA lead,,Excel / Power BI / Forms,QA / sampling workflow,,Critical
